time_published,confidence,sentiment_score
2026-02-23,1.0,-0.089631
2026-02-23,0.645342,0.129639
2026-02-23,1.0,0.326836
2026-02-23,1.0,0.282927
2026-02-22,0.646918,0.02743
2026-02-22,0.737036,0.284321
2026-02-22,0.647296,0.047599
2026-02-22,1.0,0.896336
2026-02-22,0.733936,0.32584
2026-02-22,0.951681,0.308656
2026-02-22,0.617957,0.100797
2026-02-22,0.632068,0.105252
2026-02-22,0.761253,-0.140459
2026-02-22,1.0,-0.284154
2026-02-22,0.607834,0.211092
2026-02-22,0.55499,0.117554
2026-02-22,0.739023,0.116264
2026-02-22,0.554469,-0.230859
2026-02-22,0.646377,0.105042
2026-02-22,0.609251,0.111122
2026-02-22,0.617654,0.149361
2026-02-22,1.0,0.341853
2026-02-22,0.947922,0.406026
2026-02-22,0.622077,0.127166
2026-02-22,1.0,0.421389
2026-02-22,0.977566,0.428546
2026-02-22,0.645593,0.033594
2026-02-22,0.575264,0.349436
2026-02-22,0.613611,0.038227
2026-02-22,0.649709,-0.073791
2026-02-22,0.606545,0.327035
2026-02-22,1.0,0.405313
2026-02-22,0.718252,0.212514
2026-02-22,0.717244,0.44583
2026-02-21,0.625528,0.317873
2026-02-21,0.73728,0.328546
2026-02-21,1.0,-0.236714
2026-02-21,0.638877,-0.116978
2026-02-21,0.661847,0.628575
2026-02-21,0.772114,0.134978
2026-02-21,0.635429,0.120618
2026-02-21,0.722948,0.205389
2026-02-21,0.723764,0.547049
2026-02-21,0.639194,0.147213
2026-02-21,0.716294,0.208101
2026-02-21,0.584576,0.120945
2026-02-21,0.737294,0.394651
2026-02-21,0.802651,-0.214157
2026-02-21,0.770077,0.322648
2026-02-21,0.700337,0.301194
2026-02-21,0.729698,-0.226037
2026-02-21,0.638391,0.306113
2026-02-21,0.708476,0.308901
2026-02-21,0.709137,0.33565
2026-02-21,0.620517,0.121208
2026-02-21,0.611164,-0.111929
2026-02-21,0.638394,0.140752
2026-02-21,0.965724,0.118862
2026-02-21,0.613596,0.136806
2026-02-21,1.0,-0.406506
2026-02-21,0.737344,0.441139
2026-02-21,0.606629,0.342931
2026-02-20,0.734065,-0.227087
2026-02-20,0.646246,0.116219
2026-02-20,0.953973,-0.100336
2026-02-20,0.611118,0.144431
2026-02-20,1.0,-0.206269
2026-02-20,0.949013,0.323637
2026-02-20,0.701873,0.370541
2026-02-20,1.0,0.437724
2026-02-20,0.679616,-0.119954
2026-02-20,0.621595,-0.400485
2026-02-20,1.0,0.522751
2026-02-20,1.0,0.341958
2026-02-20,0.58248,0.144407
2026-02-20,0.988018,-0.641697
2026-02-20,0.573829,0.228237
2026-02-20,1.0,-0.208385
2026-02-20,0.551544,0.143655
2026-02-20,0.713115,0.33912
2026-02-20,1.0,0.077351
2026-02-20,1.0,-0.607236
2026-02-20,1.0,-0.633769
2026-02-20,0.7242,0.106396
2026-02-20,1.0,-0.447918
2026-02-20,0.729111,0.203581
2026-02-20,0.928543,0.370045
2026-02-20,0.631397,0.147852
2026-02-20,0.586018,0.129614
2026-02-20,0.726891,0.081972
2026-02-20,0.74976,0.249939
2026-02-19,0.566151,-0.13736
2026-02-19,0.641338,0.24382
2026-02-19,0.960754,0.295729
2026-02-19,0.645353,0.105109
2026-02-19,0.601324,-0.129978
2026-02-19,0.991708,-0.414908
2026-02-19,0.63867,0.132332
2026-02-19,0.579,-0.107086
2026-02-19,1.0,-0.627556
2026-02-19,0.970923,-0.63683
2026-02-19,0.61982,-0.132486
2026-02-19,0.74883,0.320945
2026-02-19,0.714305,-0.217549
2026-02-19,1.0,-0.406371
2026-02-19,0.541077,0.269332
2026-02-19,0.73493,-0.242348
2026-02-19,0.721131,-0.218697
2026-02-19,0.729159,0.344011
2026-02-19,0.722486,0.315078
2026-02-19,1.0,-0.741149
2026-02-19,0.748541,0.220224
2026-02-19,0.739713,0.319738
2026-02-19,0.606011,-0.226158
2026-02-19,1.0,-0.611668
2026-02-19,0.713893,0.201375
2026-02-19,0.746193,-0.229724
2026-02-19,0.7161,0.225889
2026-02-19,0.720425,0.31328
2026-02-19,0.638784,0.129028
2026-02-19,0.633079,0.295571
2026-02-19,1.0,-0.432756
2026-02-19,1.0,0.388054
2026-02-19,0.703027,0.318829
2026-02-19,0.951126,-0.323127
2026-02-19,0.749599,0.138861
2026-02-19,0.707663,0.085719
2026-02-19,1.0,0.347695
2026-02-19,0.728323,0.330827
2026-02-19,0.732162,0.109913
2026-02-19,0.635032,0.339184
2026-02-19,1.0,0.328513
2026-02-19,0.736312,-0.108688
2026-02-19,0.963841,0.324572
2026-02-19,1.0,0.246699
2026-02-19,0.729565,0.147691
2026-02-19,1.0,0.118863
2026-02-18,0.56134,0.139485
2026-02-18,0.602478,0.218418
2026-02-18,0.73137,0.315045
2026-02-18,0.914883,-0.269701
2026-02-18,1.0,0.346468
2026-02-18,0.724016,0.246611
2026-02-18,0.837764,-0.134119
2026-02-18,1.0,0.303799
2026-02-18,0.998987,0.326485
2026-02-18,0.954487,0.450161
2026-02-18,0.623582,0.349081
2026-02-18,0.623286,-0.114874
2026-02-18,0.625405,0.330429
2026-02-18,0.577515,0.248622
2026-02-18,0.733001,-0.230056
2026-02-18,0.646562,0.005039
2026-02-18,1.0,-0.130788
2026-02-18,0.711872,0.131685
2026-02-18,0.604039,0.225761
2026-02-18,0.956266,0.326609
2026-02-18,0.647078,0.217703
2026-02-18,0.965939,-0.301687
2026-02-18,0.716237,0.311458
2026-02-18,0.726836,0.136247
2026-02-18,0.90847,0.200766
2026-02-18,1.0,-0.227459
2026-02-18,0.563676,0.107025
2026-02-18,0.60612,0.134713
2026-02-18,0.721976,0.347874
2026-02-18,0.61953,-0.328655
2026-02-18,0.701718,0.116787
2026-02-18,0.741597,-0.242615
2026-02-18,0.341888,0.021996
2026-02-18,0.630873,0.246359
2026-02-18,0.747926,-0.240482
2026-02-18,0.714023,-0.216156
2026-02-18,0.643083,0.305443
2026-02-18,0.714536,-0.277489
2026-02-17,1.0,0.335868
2026-02-17,0.639717,-0.113196
2026-02-17,0.972719,0.730003
2026-02-17,1.0,0.458528
2026-02-17,0.910312,0.386622
2026-02-17,1.0,0.321734
2026-02-17,1.0,0.404204
2026-02-17,0.703726,0.225887
2026-02-17,1.0,0.422803
2026-02-17,0.61727,0.350662
2026-02-17,0.637064,0.31936
2026-02-17,1.0,0.41077
2026-02-17,0.674143,0.031106
2026-02-17,1.0,0.427151
2026-02-17,0.937941,-0.243928
2026-02-17,0.608697,0.121996
2026-02-17,0.63971,0.222495
2026-02-17,0.550673,0.027717
2026-02-17,0.741472,0.242792
2026-02-17,0.979828,-0.298904
2026-02-17,0.963657,-0.278552
